mario, Mario, 1
donkey, Donkey Kong, 2
link, Link, 3
samus, Samus, 4
samusd, Dark Samus, 5
yoshi, Yoshi, 6
kirby, Kirby, 7
fox, Fox, 8
pikachu, Pikachu, 9
luigi, Luigi, 10
ness, Ness, 11
captain, Captain Falcon, 12
purin, Jigglypuff, 13
peach, Peach, 14
daisy, Daisy, 15
koopa, Bowser, 16
nana, Ice Climbers - Nana, 171
popo, Ice Climbers - Popo, 172
ice_climber, Ice Climbers, 173
sheik, Sheik, 18
zelda, Zelda, 19
mariod, Dr. Mario, 20
pichu, Pichu, 21
falco, Falco, 22
marth, Marth, 23
lucina, Lucina, 24
younglink, Young Link, 25
ganon, Ganondorf, 26
mewtwo, Mewtwo, 27
roy, Roy, 28
chrom, Chrom, 29
gamewatch, Mr. Game & Watch, 30
metaknight, Meta Knight, 31
pit, Pit, 32
pitb, Dark Pit, 33
szerosuit, Zero Suit Samus, 34
wario, Wario, 35
snake, Snake, 36
ike, Ike, 37
ptrainer, Pokemon Trainer, 38
pzenigame, Squirtle, 39
pfushigisou, Ivysaur, 40
plizardon, Charizard, 41
diddy, Diddy Kong, 42
lucas, Lucas, 43
sonic, Sonic, 44
dedede, King Dedede, 45
pikmin, Olimar, 46
lucario, Lucario, 47
robot, R.O.B., 48
toonlink, Toon Link, 49
wolf, Wolf, 50
murabito, Villager, 51
rockman, Mega Man, 52
wiifit, Wii Fit Trainer, 53
rosetta, Rosalina & Luma, 54
littlemac, Little Mac, 55
gekkouga, Greninja, 56
palutena, Palutena, 57
pacman, Pac-Man, 58
reflet, Robin, 59
shulk, Shulk, 60
koopajr, Bowser Jr., 61
duckhunt, Duck Hunt, 62
ryu, Ryu, 63
ken, Ken, 64
cloud, Cloud, 65
kamui, Corrin, 66
bayonetta, Bayonetta, 67
richter, Richter, 68
inkling, Inkling, 69
ridley, Ridley, 70
krool, King K. Rool, 71
simon, Simon, 72
shizue, Isabelle, 73
gaogaen, Incineroar, 74
packun, Piranha Plant, 75
miifighter, Mii Brawler, 76
miiswordsman, Mii Swordfighter, 77
miigunner, Mii Gunner, 78
koopag, Giga Bowser, 93
jack, Joker, 106
brave, Hero, 107
buddy, Banjo & Kazooie, 108
dolly, Terry, 109
master, Byleth, 110
tantan, Min Min, 111
pickel, Steve, 112
edge, Sephiroth, 113
element, Rex, 114
flame_first, Pyra, 115
eflame_first, Pyra, 1151
light_first, Mythra, 116
elight_first, Mythra, 1161
flame_only, Pyra, 117
eflame_only, Pyra, 1171
light_only, Mythra, 118
elight_only, Mythra, 1181
eflame, Pyra, 1152
elight, Mythra, 1162
demon, Kazuya, 119
trail, Sora, 120
